"","zip_code","id","name","is_closed","review_count","rating","price","distance","latitude","longitude","city","state","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate"
"55","31901","0Kgc59z8_Bt-edO9V6-MoA","The Loft",FALSE,150,4.5,2,5334.04826339538,32.46611,-84.99275,"Columbus","GA",0.04,0.03,0,0.01,0.08
"56","31901","wNn5fQ3p4n2bRQa6bQd9GA","Minnie's Uptown Restaurant",FALSE,144,4.5,1,5915.1231672575,32.461,-84.991452,"Columbus","GA",0.04,0.03,0,0.01,0.08
"57","31901","4e8h60mVSeQKGrqgFmwyaw","Nonic Beer Bar & Kitchen",FALSE,160,4,2,4966.60560178131,32.4693370560591,-84.9936344577951,"Columbus","GA",0.04,0.03,0,0.01,0.08
"58","31901","Okge_00wEAUIUAT06aV4xg","7th Street Provisions",FALSE,86,4.5,2,6188.68966944233,32.4587898254395,-84.9893341064453,"Columbus","GA",0.04,0.03,0,0.01,0.08
"59","31904","_oqO-7Vps3S4P8BiYp02Rw","Just Thai",FALSE,63,4.5,1,1752.45529886137,32.514573,-84.984008,"Columbus","GA",0.04,0.03,0,0.01,0.08
"60","31906","KA6KMVw5TxWYG_hAIsoApQ","Lemongrass Thai & Sushi",FALSE,192,4,2,6340.72463561423,32.47217,-84.95575,"Columbus","GA",0.04,0.03,0,0.01,0.08
"61","31901","mpemORd60WMIuba7wvjo-Q","Midtown Coffee House",FALSE,81,4.5,2,5522.03856699406,32.4706605,-84.9726371,"Columbus","GA",0.04,0.03,0,0.01,0.08
"62","31901","ac54w1G7LqaJwg58NjA9cw","Uptown Vietnam Cuisine",FALSE,124,4,2,4869.86702980874,32.4697008155032,-84.9930515729762,"Columbus","GA",0.04,0.03,0,0.01,0.08
"63","31904","qjNr5hmTmdnLRH9cjHU5_w","Korea House",FALSE,109,4,2,3753.97031507335,32.52256,-84.96414,"Columbus","GA",0.04,0.03,0,0.01,0.08
"64","31904","GR7HyCTAo5dx7W3uGPeycg","Pho Viet",FALSE,191,3.5,1,4408.5951161595,32.516885,-84.955811,"Columbus","GA",0.04,0.03,0,0.01,0.08
"65","31901","ZXOpMxN2yWobXyzlLLl5nQ","Wicked Hen Restaurant",FALSE,123,4,2,5529.16184090549,32.470681,-84.972374,"Columbus","GA",0.04,0.03,0,0.01,0.08
"66","31904","TUi3H1tVC1m4_zFEwEVASQ","Your Pie",FALSE,83,4,1,4357.87109731515,32.522877,-84.957665,"Columbus","GA",0.04,0.03,0,0.01,0.08
"67","31909","Xs2f542pJyhZd1k9Om-D4Q","First Watch",FALSE,176,4,2,5586.73653612157,32.53911,-84.9517599,"Columbus","GA",0.04,0.03,0,0.01,0.08
"68","31901","HwpckONCcdLScXNxFD0qGA","My Boulánge",FALSE,95,4,4,5057.5007528204,32.468938,-84.991018,"Columbus","GA",0.04,0.03,0,0.01,0.08
"69","31901","HjBum82KSGq1JSRMcjO1_g","Your Pie",FALSE,88,4.5,1,5384.12685793157,32.4655684,-84.9933603,"Columbus","GA",0.04,0.03,0,0.01,0.08
"70","31901","dQhnN-WNvnXPJD43IRR5KQ","Bare Roots",FALSE,90,4,2,5079.6753584879,32.4686626412999,-84.9914088292869,"Columbus","GA",0.04,0.03,0,0.01,0.08
"71","31901","0pTi536IkX2Xa8SqKkAzNw","Cannon Brew Pub",FALSE,323,3.5,2,5296.71856892242,32.46636,-84.99372,"Columbus","GA",0.04,0.03,0,0.01,0.08
"72","31901","0jDJDAIjHLFS4cvtwZAyGA","Iron Bank Coffee Co.",FALSE,147,4,1,5296.46545686274,32.4664412733225,-84.9928494241295,"Columbus","GA",0.04,0.03,0,0.01,0.08
"73","31904","5yaop88X5l6H5xHLnNAW4w","Thai House",FALSE,91,4,2,4357.84559045685,32.52293,-84.957573,"Columbus","GA",0.04,0.03,0,0.01,0.08
"74","31904","Kykn-tjNSw1TlFo-lH2Nkg","Clearview Barbecue",FALSE,76,4,1,2243.9919494009,32.504433,-84.981175,"Columbus","GA",0.04,0.03,0,0.01,0.08
"75","31901","5PbWRoqNUVE5L5OOdKShOw","Jarfly",FALSE,126,4,2,5532.77917858771,32.47071,-84.97198,"Columbus","GA",0.04,0.03,0,0.01,0.08
"76","31901","UNwMmpxR8EVBReYsGsGAew","Fountain City Coffee",FALSE,100,4,1,5425.09407236459,32.4649167,-84.9935147,"Columbus","GA",0.04,0.03,0,0.01,0.08
"77","31909","rSTRzc6_S0WB8oFyLbIxgQ","Cerrone's Brick Oven Pizzeria",FALSE,152,4.5,2,8057.12808515564,32.56091,-84.937795,"Columbus","GA",0.04,0.03,0,0.01,0.08
