"","zip_code","id","name","is_closed","review_count","rating","price","distance","latitude","longitude","city","state","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate","is_focal"
"1607","99403","q2fiKLOMxlicg3HmQSBlSg","Quay Restaurant",FALSE,12,3.5,2,3667.60443997555,46.424728,-117.046493,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1608","99403","luL9QDc98Fmqhg1i46oxbA","Bamboo Gardens",FALSE,21,3.5,2,2242.64909483285,46.4124,-117.04517,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1609","99403","SHmvW0xrFn-pAR4rpPwwyA","Station 3 Family Restaurant & Lounge",FALSE,15,3.5,2,2219.18360553816,46.412099,-117.045717,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1610","99403","uoGUs1CClp__queM5V9wZg","Paraiso Vallarta",FALSE,26,4,2,3090.40756914626,46.42014,-117.04518,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1611","99403","nOicv38ea9excnvOIBACpA","Jose Tacos",FALSE,18,4.5,1,3163.74162252255,46.420084,-117.050097,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1612","99403","x_XIbvIVQBCq50Mv04IlWQ","Rookies A Sports Pub",FALSE,7,4,2,2705.27312527829,46.4167540050156,-117.044295794192,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1613","99403","OPA4WIjdSQ3isvVLFdKpGA","Thai Garden",FALSE,24,3.5,2,2742.16040409732,46.41707,-117.04491,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1614","83501","cxrhO1hqTsOdYr7X97n4Jg","Brava's Hells Canyon",FALSE,47,4,2,3310.94973102557,46.4213325273542,-117.026784262594,"Lewiston","ID",0.06,0,0,0,0.06,TRUE
"1615","99403","SxpicUgMEbN9brEiW_bVKQ","Hazel's Good Eats",FALSE,53,4.5,1,3054.44586878276,46.41974,-117.04583,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1616","99403","lI53zoVsxR3QsHDQ69hmfQ","Sauté on 6th",FALSE,39,4.5,2,2275.81608849555,46.41257,-117.04595,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1617","99403","ZpBX94sd_tHMZtcO7KwVmg","Rooster's Waterfront Restaurant",FALSE,98,3.5,2,3979.06081443488,46.4265831398255,-117.055567391217,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
