"","review_count","rating","price","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate","id","distance","state","longitude","latitude"
"ZwazqfP1Eu78Imkh7goU_g",-39.373573593252,-0.285375496453408,0.121098228130353,0.06,0,0,0,0.06,"ZwazqfP1Eu78Imkh7goU_g",1449.51869132614,"PA",-75.7267248,39.8019483
"i1F9MlugILVIRpBiUTTmzw",-64,0.5,-1,-0.03,0.0075,0,0.01,-0.0125,"i1F9MlugILVIRpBiUTTmzw",855.477639135019,"GA",-85.2775599,34.98027
"4oX_uH-D8AijrISrrWFFRQ",-65,0.5,0,-0.03,0.0075,0,0.01,-0.0125,"4oX_uH-D8AijrISrrWFFRQ",333.955953351873,"GA",-85.281734,34.983764
"mLU6-_DAgsQO-jtf1K6BqQ",31.7073229313172,-0.413732376762627,0.497643150432191,-0.03,0.0075,0,0,-0.0225,"mLU6-_DAgsQO-jtf1K6BqQ",1542.32457471662,"GA",-84.371363,34.98733
"o-xGuOYtI2xPLu7bxl7XKQ",-31.9382642749991,0.0195950673803083,-0.375955947644767,-0.03,0.0075,0,0,-0.0225,"o-xGuOYtI2xPLu7bxl7XKQ",1462.34440366963,"GA",-84.372937,34.984642
"2kfuG2t5k0sj6qTlVAoZwA",27,0.5,0,0.06,0,0,0,0.06,"2kfuG2t5k0sj6qTlVAoZwA",1360.59884386274,"ID",-116.923910298349,44.0133186287461
"GZ-TSHodHxV_s-cackFY6w",5,-0.5,1,-0.0125,-0.005,-0.005,0,-0.0225,"GZ-TSHodHxV_s-cackFY6w",1241.45128841659,"WI",-90.6064998436358,42.5188030304389
"PPFsjthei_Wo9voA_8B_kw",-334.363298404033,0.355671422841039,0.0972307125362564,0.02275,-0.0025,-0.01375,-0.00125,0.00525,"PPFsjthei_Wo9voA_8B_kw",1002.88302388997,"KS",-94.6190963,39.044702
"YzbQobwvQL5Bj4MR5CLDZQ",-453.562490447982,0.395621555690813,-0.815076668623789,0.02275,-0.0025,-0.01375,-0.00125,0.00525000000000003,"YzbQobwvQL5Bj4MR5CLDZQ",1292.35904785143,"KS",-94.6121,39.05657
"PqvHpdJz64CF3T-X5OjiqQ",-300.10838985034,-0.606466411074362,-0.814507487748892,0.02275,-0.0025,-0.01375,-0.00125,0.00525,"PqvHpdJz64CF3T-X5OjiqQ",1412.21931290789,"KS",-94.6124241,39.0575745
